X  CH2  CH3  Start  Increment  
Sequence  Volt  Volt  -1.200000e-03  2.000000e-06  
136  0.28  -0.0112  -0.000928  2e-06  
137  0.2  -0.0124  -0.000926  2e-06  
138  0.2  -0.012  -0.000924  2e-06  
139  0.24  -0.0132  -0.000922  2e-06  
140  0.24  -0.0128  -0.00092  2e-06  
141  0.16  -0.0136  -0.000918  2e-06  
142  0.2  -0.0132  -0.000916  2e-06  
143  0.12  -0.014  -0.000914  2e-06  
144  0.12  -0.0136  -0.000912  2e-06  
145  0.16  -0.0144  -0.00091  2e-06  
146  0.12  -0.014  -0.000908  2e-06  
147  0.08  -0.0148  -0.000906  2e-06  
148  0.12  -0.0144  -0.000904  2e-06  
149  0.04  -0.0156  -0.000902  2e-06  
150  0.08  -0.0148  -0.0009  2e-06  
151  0.04  -0.016  -0.000898  2e-06  
152  0.04  -0.0152  -0.000896  2e-06  
153  0.0  -0.0164  -0.000894  2e-06  
154  0.04  -0.0164  -0.000892  2e-06  
155  -0.04  -0.0156  -0.00089  2e-06  
156  -0.04  -0.0168  -0.000888  2e-06  
157  -0.08  -0.016  -0.000886  2e-06  
158  -0.08  -0.0168  -0.000884  2e-06  
159  -0.04  -0.0172  -0.000882  2e-06  
160  -0.08  -0.0168  -0.00088  2e-06  
161  -0.12  -0.0176  -0.000878  2e-06  
162  -0.08  -0.0172  -0.000876  2e-06  
163  -0.16  -0.0176  -0.000874  2e-06  
164  -0.16  -0.0172  -0.000872  2e-06  
165  -0.12  -0.018  -0.00087  2e-06  
166  -0.16  -0.0176  -0.000868  2e-06  
167  -0.2  -0.018  -0.000866  2e-06  
168  -0.2  -0.0176  -0.000864  2e-06  
169  -0.28  -0.018  -0.000862  2e-06  
170  -0.24  -0.0172  -0.00086  2e-06  
171  -0.28  -0.018  -0.000858  2e-06  
172  -0.24  -0.0176  -0.000856  2e-06  
173  -0.32  -0.0172  -0.000854  2e-06  
174  -0.28  -0.0172  -0.000852  2e-06  
